Brand,"Publishes measurable, time-bound and long-term commitments, targets or goals on improving human rights","Publishes measurable, time-bound and long-term commitments, targets or goals on improving environmental impacts","Annual, up-to-date disclosure of progress towards achieving the company's measurable, time-bound and long-term human rights commitments, targets or goals ","Annual, up-to-date disclosure of progress towards achieving the company's measurable, time-bound and long-term environmental commitments, targets or goals ",Total
Muji,0.5,0.5,1,1,3
New Balance,0.5,0.5,0,0,1
New Look,0,0.5,0,1,1.5
New Yorker,0,0,0,0,0
Next,0.5,0.5,1,1,3
Nike,0.5,0.5,1,1,3
Nine West,0,0,0,0,0
Nordstrom,0.5,0.5,1,1,3
Old Navy,0.5,0.5,1,1,3
Otto,0.5,0.5,1,1,3
OVS,0.5,0.5,1,1,3
Paris,0,0.5,0,0,0.5
Patagonia,0.5,0.5,1,1,3
Pepe Jeans,0,0,0,0,0
Pimkie,0,0.5,0,1,1.5
Prada,0,0.5,0,0,0.5
PrettyLittleThing,0.5,0.5,1,1,3
Primark,0.5,0.5,1,1,3
Prisma,0,0.5,0,1,1.5
Pull&Bear,0.5,0.5,1,1,3
Puma,0.5,0.5,1,1,3
Quiksilver,0,0,0,0,0
Ralph Lauren,0.5,0.5,1,1,3
Reebok,0.5,0.5,0,1,2
REI,0,0.5,0,1,1.5
Reliance Trends,0,0,0,0,0
Reserved,0,0.5,0,1,1.5
REVOLVE,0,0,0,0,0
River Island,0,0.5,0,0,0.5
Ross Dress for Less,0,0,0,0,0
Roxy,0,0,0,0,0
Russell Athletic,0,0.5,0,1,1.5
s.Oliver,0,0,0,1,1
Sainsbury's,0.5,0.5,1,1,3
SAINT LAURENT,0.5,0.5,1,1,3
Saks Fifth Avenue,0.5,0.5,1,1,3
Salvatore Ferragamo,0.5,0.5,1,1,3
Sandro,0,0,0,0,0
Semir,0,0,0,0,0
SHEIN,0,0,0,0,0
Skechers,0,0,0,0,0
Speedo,0.5,0.5,1,1,3
Splash,0,0.5,0,1,1.5
Sports Direct,0,0,0,0,0
Steve Madden,0,0.5,0,0,0.5
Stradivarius,0.5,0.5,1,1,3
Superdry,0.5,0.5,1,1,3
Takko,0,0,0,0,0
Target,0,0.5,0,1,1.5
Target Australia,0.5,0.5,1,1,3
Tchibo,0,0.5,1,1,2.5
Ted Baker,0,0.5,0,0,0.5
Tesco ,0.5,0.5,1,1,3
Tezenis,0,0.5,0,1,1.5
The Children's Place,0.5,0.5,1,1,3
The North Face,0.5,0.5,1,1,3
The Warehouse,0.5,0.5,1,1,3
Timberland,0.5,0.5,1,1,3
TJ Maxx,0,0.5,0,1,1.5
Tod's,0,0,0,0,0
Tom Ford,0,0,0,0,0
Tom Tailor,0,0.5,0,0,0.5
Tommy Bahama,0,0,0,0,0
Tommy Hilfiger,0.5,0.5,1,1,3
Topman,0,0,0,0,0
Topshop,0,0,0,0,0
TOPVALU COLLECTION,0.5,0.5,1,1,3
Tory Burch,0,0,0,0,0
Triumph,0,0,0,0,0
Truworths,0.5,0,1,0,1.5
UGG,0.5,0.5,1,1,3
Under Armour,0,0,0,0,0
Uniqlo,0,0.5,1,1,2.5
United Arrows,0,0,0,0,0
United Colors of Benetton,0,0.5,0,1,1.5
Urban Outfitters,0,0.5,0,1,1.5
Valentino,0,0,0,1,1
Van Heusen,0.5,0.5,1,1,3
Vans,0.5,0.5,1,1,3
Vero Moda,0.5,0.5,1,1,3
Versace,0.5,0.5,1,1,3
Very,0,0.5,0,1,1.5
Victoria's Secret,0,0,0,0,0
Walmart,0.5,0.5,1,1,3
Woolworths South Africa,0.5,0.5,1,1,3
Wrangler,0.5,0.5,0,1,2
Youngor,0,0,0,0,0
Zalando,0.5,0.5,1,1,3
Zara,0.5,0.5,1,1,3
Zeeman,0.5,0.5,1,1,3
