Brand,Name of Facility,"Name of Parent Company (for each facility, if applicable)",Address,Type of products or services,Approximate number of workers at each site,If facility has trade union,If the facility has an independent worker committee,Sex-disaggregated breakdown of workers at each site,% or number of migrant or contract workers,"What certifications, if any, the facility has",List is publicly available as a csv or Excel spreadsheet in order to make this information easy to use for trade unions and NGOs ,Discloses what percentage of processing facilities is published,If list/map covers at least 95% of the processing factories in its supply chain,Publishes that this list or map of processing facilities has been updated within the past 6 months,Total
Fanatics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fashion Nova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fendi,3,0,3,2,2,0,0,0,0,0,3,1,2,1,17
Fila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fjällräven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foot Locker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foschini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fossil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Free people,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fruit of the Loom,3,3,3,2,2,0,0,0,0,0,0,0,0,0,13
Furla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gap,3,0,3,2,2,0,0,0,0,0,3,1,0,1,15
Gerry Weber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gildan,3,3,3,2,2,2,1,1,1,1,3,1,0,1,24
G-Star RAW,3,3,3,2,2,0,0,0,0,0,3,1,2,1,20
GU,3,0,3,0,0,0,0,0,0,0,0,0,0,1,7
Gucci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUESS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H&M,3,3,3,2,2,2,1,1,0,0,3,1,0,1,22
Hanes,3,3,3,2,2,0,0,0,0,0,0,0,0,1,14
Heilan Home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helly Hansen,3,3,3,2,2,2,1,1,1,0,3,0,0,1,22
HEMA,3,3,3,2,2,0,0,0,0,0,0,1,2,1,17
Hermès,3,3,0,0,0,0,0,0,0,0,0,1,0,0,7
Hollister Co.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson's Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hugo Boss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intimissimi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ito-Yokado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack & Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JD Sports,3,0,3,0,0,0,0,0,0,0,0,0,0,1,7
Jessica Simpson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jil Sander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jockey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Fresh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Lewis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,3,3,3,2,2,0,0,1,1,0,3,1,2,1,22
Justfab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kate Spade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kathmandu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaufland,3,0,3,2,0,0,0,0,0,0,0,0,0,0,8
Kiabi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KiK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kmart ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kmart Australia,3,3,3,2,2,0,0,1,0,0,3,1,0,1,19
Kohl's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOOVS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K-Way,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Redoute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lacoste,3,3,3,2,2,0,0,0,0,0,3,1,2,1,20
Lands' End,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC Waikiki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Levi Strauss & Co,3,0,3,2,2,0,0,0,0,0,3,0,0,1,14
Lidl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lindex,3,3,3,2,2,0,0,1,0,0,3,1,2,0,20
Li-Ning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LL Bean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Longchamp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louis Vuitton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lululemon,3,3,3,2,0,0,0,0,0,0,0,0,0,1,12
Macy's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mammut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Jacobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marks & Spencer,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
