Brand,"Decarbonisation, deforestation and regeneration - Publishes time-bound, measurable commitment to decarbonisation (e.g. commitment to a complete coal phase out and/or renewable energy targets for own operations and supply chain)","Decarbonisation, deforestation and regeneration - Publishes measurable progress towards decarbonisation","Decarbonisation, deforestation and regeneration - Publishes Science Based Targets (such as those approved by Science Based Targets Initiative) covering climate and/or other environmental topics","Decarbonisation, deforestation and regeneration - Publishes report that maps environmental impacts directly to financial statements (e.g. Environmental P&L) ","Decarbonisation, deforestation and regeneration - Publishes time-bound, measurable commitment to zero deforestation","Decarbonisation, deforestation and regeneration - Publishes measurable progress towards achieving zero deforestation","Decarbonisation, deforestation and regeneration - Discloses evidence of implementing regenerative farming practices in one or more raw material sources","Carbon emissions - Publishes annual carbon footprint or GHG emissions in owned and operated facilities (e.g. head office, retail stores, distribution centres, warehouses, transport and mail orders, etc.)","Carbon emissions - Publishes annual carbon footprint or GHG emissions in the supply chain (e.g. at manufacturing and processing facilities, textile production)",Carbon emissions - Publishes annual carbon footprint or GHG emissions at a raw material level ,"Energy use - Discloses data on absolute energy reduction in the supply chain (e.g. at manufacturing and processing facilities, fibre production level)","Energy use - % of energy use coming from renewable sources in the company’s owned and operated facilities (e.g. head office, retail stores, distribution centres, warehouses, etc.)","Energy use - % of energy use coming from renewable sources in the supply chain (e.g. at manufacturing and processing facilities, fibre production level)",Total
Eddie Bauer,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Corte Inglés,1,1,0,0,0,0,0,1,0,0,0,1,0,4
Elie Tahari,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ermenegildo Zegna,0,0,0,0,0,0,0,0,0,0,2,1,0,3
Esprit,1,1,0,0,0,0,0,1,0,0,0,0,0,3
Express,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falabella,0,0,0,0,0,0,0,1,0,0,0,1,0,2
Famous Footwear,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fanatics,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fashion Nova,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fendi,0,1,0,0,0,0,0,1,0,0,0,1,0,3
Fila,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fjällräven,0,0,0,0,0,1,1,1,2,0,0,1,0,6
Foot Locker,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foschini,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Fossil,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Free people,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Fruit of the Loom,0,1,1,0,0,0,0,1,2,2,2,1,0,10
Furla,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gap,1,1,1,0,0,0,0,1,2,2,0,1,0,9
Gerry Weber,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gildan,1,1,0,0,0,0,0,1,2,0,2,1,2,10
G-Star RAW,1,0,0,0,0,0,0,0,0,0,0,0,0,1
GU,0,0,1,0,1,0,0,1,2,2,2,0,0,9
Gucci,1,1,1,1,1,1,1,1,2,2,2,1,2,17
GUESS,1,0,0,0,0,0,0,0,0,0,0,0,0,1
H&M,1,1,1,0,1,1,1,1,2,2,2,1,0,14
Hanes,1,1,0,0,0,0,0,1,2,0,2,1,2,10
Heilan Home,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helly Hansen,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hermès,1,1,0,0,0,0,1,1,2,2,2,1,2,13
Hollister Co.,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Hudson's Bay,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Hugo Boss,1,1,1,1,0,0,0,1,0,0,0,1,0,6
Intimissimi,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Ito-Yokado,0,0,0,0,0,0,0,1,2,0,0,0,0,3
Jack & Jones,0,0,1,0,1,0,0,0,0,0,0,0,0,2
JD Sports,0,1,0,0,0,1,0,1,0,0,2,1,0,6
Jessica Simpson,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jil Sander,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jockey,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Fresh,0,0,0,0,0,0,0,1,0,0,0,0,0,1
John Lewis,1,1,0,0,1,1,0,1,0,0,0,1,0,6
Jordan,1,1,1,0,0,0,0,1,2,0,2,1,2,11
Justfab,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kate Spade,0,1,1,0,0,0,0,1,0,0,0,1,0,4
Kathmandu,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Kaufland,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Kiabi,0,0,0,0,0,0,0,1,2,2,2,0,0,7
KiK,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Kmart ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kmart Australia,1,1,0,0,1,1,0,1,2,0,0,0,0,7
Kohl's,0,0,0,0,0,0,0,1,0,0,0,1,0,2
KOOVS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K-Way,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Redoute,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lacoste,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Lands' End,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC Waikiki,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Levi Strauss & Co,1,1,1,0,0,0,0,1,2,0,2,1,0,9
Lidl,1,0,0,0,1,0,0,0,0,0,2,1,0,5
Lindex,0,1,1,0,0,0,1,1,0,0,2,1,0,7
Li-Ning,0,0,0,0,0,0,0,1,0,0,0,0,0,1
LL Bean,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Longchamp,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louis Vuitton,0,1,0,0,0,0,0,1,0,0,0,1,0,3
Lululemon,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Macy's,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Mammut,1,1,0,0,0,0,0,1,2,2,0,0,0,7
Mango,0,1,0,0,0,0,0,1,2,2,0,1,0,7
Marc Jacobs,0,1,0,0,0,0,0,1,0,0,0,1,0,3
Marks & Spencer,1,1,1,0,1,0,0,1,2,0,2,1,0,10
Marni,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massimo Dutti,1,1,1,0,0,0,0,1,2,2,0,1,0,9
Matalan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Mara,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merrell,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metersbonwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexx,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Kors,0,1,0,0,0,0,0,1,0,0,0,0,0,2
Miu Miu,0,0,0,0,0,0,0,1,0,0,0,1,0,2
Mizuno,1,1,0,1,0,0,0,1,0,0,2,0,0,6
Moncler,0,0,0,0,0,0,0,1,2,2,0,1,0,6
Monoprix,0,0,1,0,0,0,0,1,0,0,2,1,0,5
Morrisons,0,1,1,0,1,0,0,1,0,0,0,0,0,4
MRP,0,0,0,0,0,0,0,1,0,0,0,1,0,2
Muji,0,1,0,0,0,0,0,1,0,0,0,0,0,2
New Balance,1,0,0,0,0,0,0,0,2,0,0,1,0,4
New Look,0,0,0,0,0,0,0,1,0,0,0,1,0,2
New Yorker,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Next,0,1,1,0,1,1,1,1,0,0,0,1,0,7
