Year,Abercrombie & Fitch,Adidas,Aeropostale,AJIO,ALDI Nord,ALDI SOUTH,ALDO,Amazon,American Eagle,ANTA,Anthropologie,Aritzia,Armani,Asda,ASICS,ASOS,Balenciaga,Bally,Banana Republic,BCBGMAXAZRIA,Beanpole,Belle,Bershka,Big Bazaar - ffb,Big W,Billabong,Bloomingdale's,Bonprix,boohoo,Bosideng,Bottega Veneta,Brooks Sport,Brunello Cucinelli,Buckle,Burberry,Burlington,C&A,Calvin Klein,Calzedonia,Canada Goose,Carhartt,Carolina Herrera,CAROLL,Carrefour ,Carter's,CELINE,celio,Champion,Chanel,Chico's,Chloé,Claire's,Clarks,COACH,Cole Haan,Columbia Sportswear,Converse,Cortefiel,Costco,Cotton On,Decathlon,Deichmann,Desigual,Dick's Sporting Goods,Diesel,Dillard's,Dior,Disney,DKNY,Dolce & Gabbana,Dr. Martens,Dressmann,DSW,Eddie Bauer,El Corte Inglés,Elie Tahari,Ermenegildo Zegna,Esprit,Express,Falabella,Famous Footwear,Fanatics,Fashion Nova,Fendi,Fila,Fjällräven,Foot Locker,Foschini,Fossil,Free people,Fruit of the Loom,Furla,G-Star RAW,Gap,Gerry Weber,Gildan,GU,Gucci,GUESS,H&M,Hanes,Heilan Home,Helly Hansen,HEMA,Hermès,Hollister Co.,Hudson's Bay,Hugo Boss,Intimissimi,Ito-Yokado,Jack & Jones,JD Sports,Jessica Simpson,Jil Sander,Jockey,Joe Fresh,John Lewis,Jordan,Justfab,K-Way,Kate Spade,Kathmandu,Kaufland,Kiabi,KiK,Kmart ,Kmart Australia,Kohl's,KOOVS,La Redoute,Lacoste,Lands' End,LC Waikiki,Levi Strauss & Co,Li-Ning,Lidl,Lindex,LL Bean,Longchamp,Louis Vuitton,Lululemon,Macy's,Mammut,Mango,Marc Jacobs,Marks & Spencer,Marni,Massimo Dutti,Matalan,Max Mara,Merrell,Metersbonwe,Mexx,Michael Kors,Miu Miu,Mizuno,Moncler,Monoprix,Morrisons,MRP,Muji,New Balance,New Look,New Yorker,Next,Nike,Nine West,Nordstrom,Old Navy,Otto,OVS,Paris,Patagonia,Pepe Jeans,Pimkie,Prada,PrettyLittleThing,Primark,Prisma,Pull&Bear,Puma,Quiksilver,Ralph Lauren,Reebok,REI,Reliance Trends,Reserved,REVOLVE,River Island,Ross Dress for Less,Roxy,Russell Athletic,s.Oliver,Sainsbury's,SAINT LAURENT,Saks Fifth Avenue,Salvatore Ferragamo,Sandro,Semir,SHEIN,Skechers,Speedo,Splash,Sports Direct,Steve Madden,Stradivarius,Superdry,Takko,Target,Target Australia,Tchibo,Ted Baker,Tesco ,Tezenis,The Children's Place,The North Face,The Warehouse,Timberland,TJ Maxx,Tod's,Tom Ford,Tom Tailor,Tommy Bahama,Tommy Hilfiger,Topman,Topshop,TOPVALU COLLECTION,Tory Burch,Triumph,Truworths,UGG,Under Armour,Uniqlo,United Arrows,United Colors of Benetton,Urban Outfitters,Valentino,Van Heusen,Vans,Vero Moda,Versace,Very,Victoria's Secret,Walmart,Woolworths South Africa,Wrangler,Youngor,Zalando,Zara,Zeeman
2021,0.199,0.544,0.034,0.073,0.248,0.308,0.142,0.273,0.155,0.07,0.157,0.227,0.139,0.382,0.489,0.473,0.428,0.14,0.492,0.019,0.07,0,0.358,0,0.292,0.003,0.1,0.353,0.197,0.046,0.424,0.296,0.05,0.071,0.338,0.146,0.651,0.59,0.107,0.084,0.086,0.142,0.126,0.237,0.123,0.222,0.004,0.393,0.108,0.084,0.184,0.031,0.341,0.216,0.056,0.249,0.554,0.148,0.117,0.176,0.236,0.024,0.21,0.311,0.072,0.061,0.222,0.205,0.018,0.016,0.153,0.476,0.09,0.029,0.281,0,0.328,0.603,0.059,0.173,0.06,0.122,0.002,0.434,0.043,0.28,0.073,0.171,0.125,0.157,0.34,0.071,0.431,0.492,0.049,0.631,0.421,0.557,0.119,0.675,0.393,0.003,0.361,0.241,0.371,0.199,0.132,0.337,0.107,0.146,0.252,0.266,0,0.061,0.022,0.134,0.265,0.554,0.033,0.04,0.216,0.247,0.137,0.216,0.143,0.084,0.557,0.149,0,0.09,0.347,0.144,0.041,0.443,0.127,0.272,0.504,0.086,0.028,0.222,0.423,0.1,0.312,0.258,0.218,0.481,0.045,0.358,0.172,0.004,0.088,0,0,0.156,0.184,0.215,0.179,0.18,0.279,0.149,0.223,0.423,0.342,0.004,0.397,0.554,0.014,0.281,0.492,0.198,0.784,0.116,0.555,0.002,0.288,0.184,0.197,0.38,0.251,0.362,0.508,0.003,0.286,0.544,0.194,0.073,0.152,0.022,0.22,0.061,0.003,0.34,0.108,0.483,0.428,0.132,0.253,0.088,0.002,0.01,0.081,0.525,0.091,0.049,0.135,0.358,0.317,0.117,0.421,0.557,0.534,0.212,0.335,0.107,0.092,0.657,0.272,0.657,0.13,0.136,0.002,0.423,0.056,0.59,0.271,0.271,0.164,0.004,0.058,0.106,0.545,0.215,0.421,0.087,0.597,0.157,0.081,0.59,0.649,0.256,0.156,0.228,0.216,0.257,0.244,0.342,0,0.449,0.358,0.376
2020,0.248,0.694,0.04,-1,0.252,0.3,0.174,0.254,0.172,0.084,0.202,0.158,0.088,0.338,0.458,0.548,0.468,0,0.5,0.032,0.076,0,0.442,0.012,0.302,0.034,0.156,0.43,0.092,0.074,0.464,0.254,0.106,0.096,0.36,0.144,0.698,0.538,0.132,0.042,0.06,0.12,0.14,0.204,-1,0.256,0.014,0.388,0.106,0.118,0.2,0.048,0.404,0.188,0.082,0.282,0.552,0.162,0.152,0.25,0.234,-1,0.168,0.164,0.106,0.096,0.26,0.228,0.024,0.034,0.096,0.48,0.104,0.046,0.278,0,0.268,0.642,0.08,0.17,0.092,0.15,0.016,0.252,0.078,0.312,0.074,0.144,0.128,0.206,-1,0.102,0.488,0.5,0.104,0.492,-1,0.484,0.192,0.728,0.388,0,0.35,0.338,0.33,0.248,0.19,0.41,0.132,0.206,0.292,0.16,0,0.062,0.044,0.134,0.296,0.552,0.042,0.06,0.188,0.302,0.182,-1,0.18,0.178,0.328,0.164,0.016,0.114,0.246,0.186,-1,0.478,0.154,0.268,0.496,0.06,0.03,0.26,0.456,0.156,0.314,0.216,0.252,0.596,0.106,0.442,0.176,0.004,0.11,0.008,0,0.076,0.182,0.268,0.188,0.22,0.314,0.158,0.104,0.484,0.426,0.006,0.362,0.552,0.032,0.222,0.5,0.196,0.346,-1,0.604,0.004,0.182,0.182,0.092,0.384,0.248,0.442,0.566,0.034,0.27,0.694,0.234,0.124,0.194,0.022,0.222,0.084,0.034,0.362,0.162,0.47,0.468,0.19,0.206,0.114,-1,-1,0.082,0.338,-1,0.06,0.096,0.442,0.202,0.116,0.374,0.328,0.484,0.234,0.434,0.132,0.09,0.586,0.342,0.588,0.152,0.202,0.002,0.18,0.084,0.538,0.382,0.382,0.194,0.036,0.1,0.146,0.174,0.292,0.396,0.07,0.546,0.202,0.098,0.538,0.586,0.296,0.058,0.282,0.212,0.28,0.194,0.586,0,0.39,0.442,0.248
2019,0.204,0.642,0.042,-1,0.214,0.214,0.158,0.136,0.138,0.104,0.054,-1,0.072,0.376,0.304,0.588,-1,-1,0.538,0.018,0.002,-1,0.456,-1,-1,-1,0.13,0.384,0.112,-1,0.392,-1,0.106,0.096,0.332,0.096,0.602,0.412,0.054,-1,-1,0.1,0.022,0.178,-1,0.202,-1,0.308,0.102,0.092,-1,0.044,0.26,0.22,0.066,0.212,0.572,0.154,0.146,-1,0.186,-1,0.074,0.088,0.106,0.066,0.216,-1,-1,0.034,-1,0.308,0.092,0.046,0.19,0,0.044,0.622,0.056,0.156,0.068,0.042,-1,0.202,-1,-1,0.06,-1,0.134,-1,-1,0.008,0.452,0.538,-1,0.41,-1,0.4,0.2,0.612,0.308,0.002,-1,-1,0.314,-1,0.212,0.414,0.054,0.138,0.282,0.11,0,-1,-1,0.11,0.284,0.572,-1,0.078,0.2,-1,-1,-1,0.132,0.176,-1,0.104,-1,-1,0.13,0.184,-1,0.51,0.058,0.19,0.436,0.038,0.004,0.218,0.408,0.13,0.236,0.178,0.202,0.562,0.106,0.456,0.1,0.004,0.098,0.002,0,0.068,0.196,0.246,0.184,0.188,-1,0.142,0.068,0.472,0.302,0.006,0.33,0.572,0.024,0.176,0.538,-1,0.252,-1,0.642,-1,0.048,0.196,-1,0.354,0.206,0.456,0.582,-1,0.208,0.642,-1,-1,-1,0.014,0.088,0.08,-1,0.23,0.092,0.282,0.378,0.212,0.2,0.092,-1,-1,0.064,0.288,-1,0.066,0.076,0.456,0.206,0.098,0.362,-1,0.488,0.116,0.392,0.054,-1,0.566,-1,0.566,0.15,0.176,0,0.088,0.034,0.412,-1,0.278,0.112,0.032,0.086,-1,0.142,0.276,0.382,-1,0.44,0.054,0.1,0.412,0.566,0.282,0.086,0.188,0.232,0.27,-1,0.566,0,0.28,0.456,
2018,0.144,0.578,0.054,-1,-1,-1,-1,0.104,0.146,0.024,0.058,-1,0.082,0.304,0.264,0.502,-1,-1,0.538,-1,-1,-1,0.42,-1,-1,-1,0.176,0.292,-1,-1,0.364,-1,-1,0.11,0.326,0.118,0.532,0.378,0.064,-1,-1,0.052,-1,-1,-1,-1,-1,0.24,0.03,0.112,-1,0.022,-1,0.212,-1,0.224,0.364,0.15,0.15,-1,0.172,-1,0,0.116,0.036,0.11,0,-1,-1,0.012,-1,0.244,-1,-1,0.126,-1,0.052,0.544,0.072,0.16,-1,-1,-1,0.152,-1,-1,0.048,-1,-1,-1,-1,-1,0.452,0.538,-1,0.33,-1,0.368,0.19,0.548,0.24,0,-1,-1,0.26,-1,0.218,0.376,-1,-1,0.2,0.126,0,-1,-1,0.116,0.236,0.364,-1,-1,0.12,-1,-1,-1,0.16,-1,-1,0.082,-1,-1,0.06,0.206,-1,0.472,-1,0.148,0.374,0.028,0.004,0.146,0.354,0.176,-1,0.178,0.032,0.514,-1,0.42,0.046,0.004,-1,-1,0,0.074,0.148,-1,-1,0.13,-1,-1,-1,0.292,0.294,0.006,0.326,0.364,0,0.174,0.538,-1,0.228,-1,-1,-1,-1,0.148,-1,0.362,-1,0.42,0.56,-1,0.14,0.578,-1,-1,-1,-1,-1,0.104,-1,0.174,0,0.072,0.364,0.218,0.2,0,-1,-1,-1,-1,-1,0.054,-1,0.42,0.204,0.09,0.346,-1,0.422,-1,0.308,-1,-1,0.458,-1,0.458,0.176,-1,-1,-1,-1,0.378,-1,0.264,-1,0.032,0.092,-1,-1,0.218,0.286,-1,0.348,0.058,0.092,0.378,0.458,0.2,0.042,-1,0.192,0.25,-1,0.458,0.026,0.27,0.42,
2017,0.096,0.486,0.07,-1,-1,-1,-1,0.09,0.098,-1,0.066,-1,0.082,0.23,0.196,0.326,-1,-1,0.462,-1,-1,-1,0.364,-1,-1,-1,-1,-1,-1,-1,0.28,-1,-1,-1,0.252,0.078,0.344,0.288,0.088,-1,-1,-1,-1,-1,-1,-1,-1,0.196,0.014,0.07,-1,0.026,-1,0.214,-1,0.15,0.36,-1,0.13,-1,-1,-1,-1,-1,-1,0.096,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.046,0.37,0.038,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.462,-1,0.274,-1,0.284,0.118,0.478,0.196,0,-1,-1,0.218,-1,0.212,0.266,-1,-1,0.154,-1,-1,-1,-1,-1,-1,0.36,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.132,-1,-1,0.046,0.162,-1,0.348,-1,-1,-1,0.026,-1,0.148,0.246,0.172,-1,0.132,-1,0.48,-1,0.364,0.014,-1,-1,-1,0.062,0.084,0.076,-1,-1,-1,-1,-1,-1,0.176,0.21,-1,0.204,0.36,-1,0.15,0.462,-1,-1,-1,-1,-1,-1,0.076,-1,0.238,-1,0.364,0.462,-1,0.092,0.486,-1,-1,-1,-1,-1,0.078,-1,0.184,0,-1,0.28,0.212,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.316,-1,-1,-1,0.304,-1,-1,0.242,-1,0.242,0.17,-1,-1,-1,-1,0.288,-1,0.254,-1,-1,0.086,-1,-1,0.11,0.264,-1,0.188,0.066,-1,-1,-1,-1,-1,-1,0.114,0.216,-1,0.242,-1,0.164,0.364,
