Brand,Publishes description of how the facility audit process works,Discloses criteria for taking on new facilities before production commences to ensure the facility meets policies and standards,"Discloses % of audits that are announced, semi-announced or unannounced","Discloses % of facilities beyond tier 1 (e.g. tier 2/3/4 by which we mean processing facilities, textile mills, laundries and dye houses, suppliers of raw materials, farms) which are audited",Discloses number or % of workers interviewed offsite as part of audits,% of audits which included a trade union representative,Total
Massimo Dutti,1,1,1,0,0,0,3
Matalan,1,1,1,0,0,0,3
Max Mara,0,0,0,0,0,0,0
Merrell,1,1,0,0,0,0,2
Metersbonwe,0,0,0,0,0,0,0
Mexx,0,0,0,0,0,0,0
Michael Kors,1,1,1,1,0,0,4
Miu Miu,1,1,0,0,0,0,2
Mizuno,1,1,0,1,0,0,3
Moncler,1,0,0,0,0,0,1
Monoprix,1,1,0,0,0,0,2
Morrisons,1,1,0,1,0,0,3
MRP,1,1,1,0,0,0,3
Muji,1,1,0,0,0,0,2
New Balance,1,1,0,0,0,0,2
New Look,1,1,1,0,0,0,3
New Yorker,0,0,0,0,0,0,0
Next,1,1,1,1,0,0,4
Nike,1,1,0,0,0,0,2
Nine West,1,0,0,0,0,0,1
Nordstrom,1,1,1,0,0,0,3
Old Navy,1,1,1,1,1,0,5
Otto,1,1,0,0,0,0,2
OVS,1,1,1,0,0,0,3
Paris,0,0,0,0,0,0,0
Patagonia,1,1,0,1,0,0,3
Pepe Jeans,0,0,0,0,0,0,0
Pimkie,1,1,1,0,0,0,3
Prada,1,1,0,0,0,0,2
PrettyLittleThing,1,0,1,0,0,0,2
Primark,1,1,1,0,0,0,3
Prisma,1,1,0,0,0,0,2
Pull&Bear,1,1,1,0,0,0,3
Puma,1,1,0,0,0,0,2
Quiksilver,0,0,0,0,0,0,0
Ralph Lauren,1,1,1,0,0,0,3
Reebok,1,1,0,0,0,0,2
REI,1,1,0,1,0,0,3
Reliance Trends,0,0,0,0,0,0,0
Reserved,1,1,0,0,0,0,2
REVOLVE,0,0,0,0,0,0,0
River Island,1,1,1,0,0,0,3
Ross Dress for Less,1,0,0,0,0,0,1
Roxy,0,0,0,0,0,0,0
Russell Athletic,1,1,0,0,0,0,2
s.Oliver,1,1,0,0,0,0,2
Sainsbury's,1,1,1,0,0,0,3
SAINT LAURENT,1,1,0,1,0,0,3
Saks Fifth Avenue,1,1,0,0,0,0,2
Salvatore Ferragamo,1,1,0,0,0,0,2
Sandro,1,1,0,0,0,0,2
Semir,0,0,0,0,0,0,0
SHEIN,0,0,0,0,0,0,0
Skechers,1,1,0,0,0,0,2
Speedo,1,1,1,0,0,0,3
Splash,0,1,0,0,0,0,1
Sports Direct,0,0,0,0,0,0,0
Steve Madden,1,0,1,0,0,0,2
Stradivarius,1,1,1,0,0,0,3
Superdry,1,1,1,1,0,1,5
Takko,1,1,0,0,0,0,2
Target,1,1,1,1,0,0,4
Target Australia,1,1,1,1,0,0,4
Tchibo,1,1,0,0,0,0,2
Ted Baker,1,1,0,0,0,0,2
Tesco ,1,1,1,0,0,0,3
Tezenis,0,0,0,0,0,0,0
The Children's Place,1,1,0,0,0,0,2
The North Face,1,1,1,1,0,0,4
The Warehouse,1,1,0,0,0,0,2
Timberland,1,1,1,1,0,0,4
TJ Maxx,1,0,0,0,0,0,1
Tod's,0,0,0,0,0,0,0
Tom Ford,0,0,0,0,0,0,0
Tom Tailor,1,1,1,0,0,0,3
Tommy Bahama,1,1,0,0,0,0,2
Tommy Hilfiger,1,1,1,1,0,0,4
Topman,1,1,0,0,0,0,2
Topshop,1,1,0,0,0,0,2
TOPVALU COLLECTION,1,1,0,0,0,0,2
Tory Burch,0,0,0,0,0,0,0
Triumph,1,1,0,0,0,0,2
Truworths,0,1,0,0,0,0,1
UGG,1,0,0,0,0,0,1
