Brand,"OVERCONSUMPTION, WASTE & CIRCULARITY - Discloses quantity of products produced during the annual reporting period","OVERCONSUMPTION, WASTE & CIRCULARITY - Discloses quantity of pre-production waste generated annually (e.g. offcuts, scraps, threads, end of roll fabrics)","OVERCONSUMPTION, WASTE & CIRCULARITY - Discloses quantity of post-production/pre-consumer waste generated annually (e.g. deadstock, overstock, samples)","OVERCONSUMPTION, WASTE & CIRCULARITY - Discloses breakdown (% or tonnes) of how pre-consumer waste is reused or recycled (e.g. downcycled, resold locally, used for energy recovery, resold into other markets, upcycled, recycled into new textiles)","OVERCONSUMPTION, WASTE & CIRCULARITY - % or tonnes of textiles or number of items destroyed (typically incinerated) during the annual reporting period ","OVERCONSUMPTION, WASTE & CIRCULARITY - Offers permanent, year-round take-back schemes/in-store recycling","OVERCONSUMPTION, WASTE & CIRCULARITY - Discloses what happens to clothes received through take-back scheme (e.g. how much is resold locally, resold into other markets, downcycled, upcycled, recycled into new textiles)","OVERCONSUMPTION, WASTE & CIRCULARITY - Offers new business models that support clothing longevity and slow down consumption of new clothing such as renting and reselling ","OVERCONSUMPTION, WASTE & CIRCULARITY - Offers repair services in order to increase clothing longevity  and slow down consumption of new clothing ","OVERCONSUMPTION, WASTE & CIRCULARITY - Disclose evidence of developing circular solutions that enable textile to textile recycling beyond reuse and downcycling (e.g. closed loop textile recycling; nb. use of recycled materials not sufficient)","OVERCONSUMPTION, WASTE & CIRCULARITY - Discloses % of products that are designed to enable closed loop or textile to textile recycling at end of life",Total
Famous Footwear,0,0,0,0,0,0,0,0,0,0,0,0
Fanatics,0,0,0,0,0,0,0,0,0,0,0,0
Fashion Nova,0,0,0,0,0,0,0,0,0,0,0,0
Fendi,0,0,0,0,0,0,0,0,1,0,0,1
Fila,0,0,0,0,0,0,0,0,1,0,0,1
Fjällräven,1,0,0,0,0,1,0,0,1,0,0,3
Foot Locker,0,0,0,0,0,0,0,0,0,0,0,0
Foschini,1,0,0,0,0,0,0,0,0,0,0,1
Fossil,0,0,0,0,0,0,0,0,0,0,0,0
Free people,1,0,0,0,0,0,0,1,0,0,0,2
Fruit of the Loom,0,0,0,1,0,0,0,0,0,1,0,2
Furla,0,0,0,0,0,0,0,0,0,0,0,0
Gap,0,0,0,0,0,1,0,0,0,1,0,2
Gerry Weber,0,0,0,0,0,0,0,0,0,0,0,0
Gildan,0,0,0,1,0,0,0,0,0,0,0,1
G-Star RAW,0,0,0,0,0,0,0,0,0,1,0,1
GU,1,0,0,0,0,1,1,0,0,0,0,3
Gucci,0,1,0,1,0,0,0,1,1,1,1,6
GUESS,0,0,0,0,0,1,0,1,0,1,1,4
H&M,0,0,0,1,1,1,1,1,1,1,0,7
Hanes,0,1,0,0,0,0,0,0,0,0,0,1
Heilan Home,0,0,0,0,0,0,0,0,0,0,0,0
Helly Hansen,0,0,0,0,0,0,0,0,1,1,0,2
HEMA,0,0,0,0,0,0,0,0,0,0,0,0
Hermès,0,0,0,0,0,0,0,0,1,1,0,2
Hollister Co.,0,0,0,0,0,1,1,0,0,0,0,2
Hudson's Bay,0,0,0,0,0,0,0,0,0,0,0,0
Hugo Boss,0,0,0,0,0,0,0,0,0,0,0,0
Intimissimi,0,1,0,0,0,1,0,0,0,0,0,2
Ito-Yokado,0,0,0,0,0,0,0,0,0,0,0,0
Jack & Jones,0,0,0,0,0,0,0,0,0,1,0,1
JD Sports,0,0,0,0,0,0,0,0,0,0,0,0
Jessica Simpson,0,0,0,0,0,0,0,0,0,0,0,0
Jil Sander,0,0,0,0,0,1,1,0,1,0,0,3
Jockey,0,0,0,0,0,0,0,0,0,0,0,0
Joe Fresh,0,0,0,0,0,0,0,0,0,1,0,1
John Lewis,0,0,0,0,0,1,1,1,0,0,0,3
Jordan,0,1,0,1,1,1,1,0,0,1,0,6
Justfab,0,0,0,0,0,0,0,0,0,0,0,0
Kate Spade,0,0,0,1,0,0,0,0,0,0,0,1
Kathmandu,0,0,0,0,0,0,0,0,1,0,0,1
Kaufland,0,0,0,0,0,1,0,0,0,0,0,1
Kiabi,0,0,0,0,0,0,1,1,0,1,1,4
KiK,0,0,0,0,0,0,0,0,0,0,0,0
Kmart ,0,0,0,0,0,0,0,0,0,0,0,0
Kmart Australia,1,0,0,0,0,0,0,0,0,1,0,2
Kohl's,0,0,0,0,0,0,0,0,0,0,0,0
KOOVS,0,0,0,0,0,0,0,0,0,0,0,0
K-Way,0,0,0,0,0,0,0,0,0,0,0,0
La Redoute,0,0,0,0,0,1,1,0,0,0,0,2
Lacoste,0,0,0,0,0,0,0,0,0,1,0,1
Lands' End,0,0,0,0,0,0,0,0,0,0,0,0
LC Waikiki,0,0,0,0,0,0,0,0,0,0,0,0
Levi Strauss & Co,0,0,0,0,0,1,1,1,1,1,0,5
Lidl,0,0,0,0,0,0,0,0,0,0,0,0
Lindex,0,0,0,0,0,1,0,1,0,1,0,3
Li-Ning,0,0,0,0,0,0,0,0,0,0,0,0
LL Bean,0,0,0,0,0,0,0,0,1,0,0,1
Longchamp,0,0,0,0,0,0,0,0,1,0,0,1
Louis Vuitton,0,0,0,0,0,0,0,0,1,0,0,1
Lululemon,0,0,0,1,0,0,0,0,0,1,0,2
Macy's,0,0,0,0,0,0,0,0,0,0,0,0
Mammut,1,0,0,0,0,1,0,0,1,1,0,4
Mango,1,1,0,0,0,1,1,0,0,1,0,5
Marc Jacobs,0,0,0,0,0,0,0,0,0,0,0,0
Marks & Spencer,0,0,0,0,0,1,1,0,0,1,0,3
Marni,0,0,0,0,0,0,0,0,0,0,0,0
Massimo Dutti,1,0,0,1,0,1,1,0,0,1,0,5
Matalan,0,0,0,0,0,0,0,0,0,0,0,0
Max Mara,0,0,0,0,0,0,0,0,0,0,0,0
Merrell,0,0,0,0,0,0,0,0,0,1,0,1
Metersbonwe,0,0,0,0,0,0,0,0,0,0,0,0
Mexx,0,0,0,0,0,0,0,0,0,0,0,0
Michael Kors,0,0,0,0,0,0,0,0,0,0,0,0
Miu Miu,0,0,0,0,0,0,0,1,1,1,0,3
Mizuno,0,0,0,0,0,0,0,0,0,0,0,0
Moncler,0,1,0,1,0,0,0,0,0,0,0,2
Monoprix,0,0,0,0,0,0,0,0,0,0,0,0
Morrisons,1,0,0,0,1,1,1,0,1,0,0,5
MRP,0,0,0,0,0,0,0,0,0,0,0,0
Muji,0,0,0,0,0,1,1,1,0,0,0,3
New Balance,0,0,0,0,0,1,0,0,1,0,0,2
New Look,0,0,0,0,0,1,0,0,0,0,0,1
New Yorker,0,0,0,0,0,0,0,0,0,0,0,0
Next,0,0,0,0,0,0,0,0,0,0,0,0
Nike,0,1,0,1,1,1,1,0,0,1,0,6
Nine West,0,0,0,0,0,0,0,0,0,0,0,0
Nordstrom,0,0,0,0,0,1,1,1,1,1,0,5
Old Navy,0,0,0,0,0,1,0,0,0,1,0,2
Otto,0,0,0,0,0,1,0,0,0,0,0,1
OVS,1,1,1,0,1,1,1,0,1,1,1,9
Paris,0,0,0,0,0,1,1,0,1,0,0,3
Patagonia,0,0,0,0,0,1,1,1,1,1,0,5
Pepe Jeans,0,0,0,0,0,0,0,0,0,0,0,0
Pimkie,1,0,0,0,1,1,1,1,1,1,0,7
Prada,0,0,0,0,0,0,0,1,1,1,0,3
PrettyLittleThing,0,0,0,0,0,1,0,0,0,0,0,1
Primark,0,0,0,0,1,1,1,0,0,1,0,4
Prisma,0,0,0,0,0,0,0,0,0,0,0,0
Pull&Bear,1,0,0,1,0,1,1,0,1,1,0,6
Puma,0,0,1,0,0,1,0,0,0,0,0,2
Quiksilver,0,0,0,0,0,0,0,0,0,0,0,0
Ralph Lauren,0,0,0,0,1,0,0,1,0,1,0,3
Reebok,1,0,0,0,0,1,1,0,0,1,0,4
REI,0,0,0,0,0,0,0,1,1,0,0,2
Reliance Trends,0,0,0,0,0,0,0,0,0,0,0,0
Reserved,0,0,0,0,0,1,1,0,0,1,0,3
REVOLVE,0,0,0,0,0,0,0,0,0,0,0,0
River Island,0,0,0,0,0,0,0,0,0,0,0,0
Ross Dress for Less,0,0,0,0,0,0,0,0,0,0,0,0
Roxy,0,0,0,0,0,0,0,0,0,0,0,0
Russell Athletic,0,0,0,1,0,0,0,0,0,1,0,2
s.Oliver,0,0,0,0,0,0,0,0,0,0,0,0
Sainsbury's,0,0,0,0,0,1,1,1,0,0,0,3
SAINT LAURENT,0,0,0,0,0,0,0,0,1,1,1,3
Saks Fifth Avenue,0,0,0,0,0,0,0,0,0,0,0,0
Salvatore Ferragamo,0,0,0,0,0,0,0,0,0,1,0,1
Sandro,0,0,0,0,0,0,0,0,0,0,0,0
Semir,0,0,0,0,0,0,0,0,0,0,0,0
SHEIN,0,0,0,0,0,0,0,0,0,0,0,0
Skechers,0,0,0,0,0,0,0,0,0,0,0,0
Speedo,0,0,0,0,1,1,1,1,0,0,0,4
Splash,0,0,0,0,0,1,1,0,0,0,0,2
