Index,Brand,What are the company’s human rights and environmental policies?,What are the company’s vendor/supplier policies covering human rights and environmental standards across the supply chain?,Publishes the company’s human rights and environmental management procedures,Publishes a strategic plan towards progressively improving human rights and environmental impacts,Publishes an annual sustainability or corporate social responsibility report that is audited or verified by an independent third party,Publicly discloses contact details for the department the company that has responsibility for human rights and environmental issues,Publicly discloses the company board member or board committee accountable for human rights and environmental issues,Publicly acknowledges how the company prioritises money spent on managing and implementing CSR and sustainability activities,Publishes how the company incorporates human rights and environmental performance into purchasing practices,Publishes tier one factories,Publishes processing facilities,"Publishes suppliers of raw materials such as fibres, hides, rubber, dyes, metals, etc.","Publicly discloses human rights and environmental due diligence processes, outcomes and what brand is doing to remediate any issues identified.",Publicly discloses how the company assesses implementation of its supply chain policies by facility,Publicly discloses findings from its facility-level assessments,Publicly discloses description and status of the remediation process,Publicly discloses how the company ensures human rights and environmental grievances from employees and workers are captured and addressed,Decent work and purchasing practices,Gender and racial equality,Sustainable sourcing and materials,"Overconsumption, waste and circularity",Water and chemicals,Climate change and biodiversity
62,Desigual,0.8,0.67,0.4,0.5,1.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.17,0.33,0.0,0.33,0.62,0.0,0.29,0.22,0.09,0.11,0.12
63,Dick's Sporting Goods,0.8,0.64,0.6,0.33,1.0,1.0,0.0,0.0,0.33,0.58,0.58,0.05,0.0,0.33,0.12,0.67,0.62,0.1,0.29,0.33,0.0,0.11,0.06
64,Diesel,0.75,0.69,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.29,0.0,0.0,0.0,0.0
65,Dillard's,0.3,0.36,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.04,0.33,0.38,0.0,0.0,0.0,0.0,0.0,0.0
66,Dior,0.9,0.83,0.8,0.5,1.0,1.0,0.67,1.0,0.67,0.0,0.0,0.05,0.33,0.33,0.04,0.33,0.38,0.0,0.14,0.33,0.09,0.11,0.18
67,Disney,0.7,0.58,0.4,0.5,0.0,1.0,0.67,0.0,0.0,0.27,0.27,0.0,0.0,0.33,0.25,0.33,0.5,0.0,0.29,0.0,0.0,0.11,0.06
68,DKNY,0.05,0.19,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Dolce & Gabbana,0.35,0.19,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Dr. Martens,0.5,0.75,0.43,0.17,0.0,1.0,0.67,0.0,0.0,0.35,0.0,0.05,0.0,0.33,0.0,0.33,0.12,0.07,0.14,0.0,0.0,0.0,0.06
71,Dressmann,0.8,0.83,0.83,1.0,0.0,1.0,0.67,0.0,0.67,0.81,0.73,0.05,0.83,0.67,0.21,0.67,0.75,0.13,0.14,0.78,0.27,0.33,0.12
72,DSW,0.65,0.47,0.27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.5,0.0,0.0,0.0,0.27,0.0,0.0
73,Eddie Bauer,0.2,0.36,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0
74,El Corte Inglés,0.9,0.69,0.73,0.5,1.0,1.0,0.67,0.0,0.0,0.42,0.0,0.05,0.0,0.5,0.04,0.0,1.0,0.07,0.29,0.56,0.36,0.11,0.24
75,Elie Tahari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Ermenegildo Zegna,0.7,0.72,0.07,0.0,0.0,1.0,0.0,0.0,0.0,0.77,0.77,0.82,0.0,0.33,0.0,0.33,0.5,0.03,0.0,0.0,0.0,0.0,0.18
77,Esprit,0.75,1.0,0.8,1.0,0.0,1.0,0.67,0.0,0.67,0.92,0.92,0.91,0.0,0.67,0.29,1.0,0.75,0.17,0.29,1.0,0.45,0.33,0.18
78,Express,0.45,0.44,0.1,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.25,0.0,0.0,0.0,0.0,0.0,0.0
79,Falabella,0.7,0.47,0.43,1.0,1.0,1.0,0.67,0.0,0.33,0.0,0.0,0.0,0.0,0.33,0.04,0.0,0.88,0.07,0.14,0.11,0.18,0.11,0.12
80,Famous Footwear,0.45,0.47,0.23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.17,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0
81,Fanatics,0.0,0.61,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.33,0.0,0.33,0.0,0.03,0.0,0.0,0.0,0.0,0.0
82,Fashion Nova,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Fendi,0.9,0.83,0.8,0.5,1.0,1.0,0.67,1.0,0.67,0.65,0.65,0.68,0.33,0.5,0.04,0.33,0.38,0.1,0.14,0.33,0.09,0.22,0.18
