Brand,Name of Facility,"Name of Parent Company (for each facility, if applicable)",Address,Type of products or services,Approximate number of workers at each site,If facility has a trade union,If the facility has an independent worker committee,Sex-disaggregated breakdown of workers at each site,% or number of migrant or contract workers,"What certifications, if any, the facility has",List is publicly available as a csv or Excel spreadsheet in order to make this information easy to use for trade unions and NGOs ,Discloses what percentage of its tier one factories is published,If list/map covers at least 95% of the tier one factories in its supply chain,Publishes that this list or map of tier one factories has been updated within the past 6 months,Total
Next,3,3,3,2,2,0,0,0,0,0,0,1,2,1,17
Nike,3,3,3,2,2,0,0,1,1,0,3,1,2,1,22
Nine West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nordstrom,3,3,3,2,2,0,0,1,0,0,0,0,0,0,14
Old Navy,3,0,3,2,2,0,0,0,0,0,3,1,2,1,17
Otto,3,3,3,0,0,0,0,0,0,0,0,0,0,0,9
OVS,3,3,3,2,2,2,1,1,1,1,3,1,2,1,26
Paris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patagonia,3,3,3,2,2,0,0,0,0,0,3,1,2,1,20
Pepe Jeans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pimkie,3,3,3,0,2,0,0,0,0,0,3,1,2,1,18
Prada,3,3,3,2,0,0,0,0,0,0,0,0,0,0,11
PrettyLittleThing,3,0,3,2,2,0,0,1,0,0,0,0,0,1,12
Primark,3,0,3,0,2,0,0,1,0,0,3,1,2,1,16
Prisma,3,0,3,2,0,0,0,0,0,0,3,1,2,1,15
Pull&Bear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puma,3,0,3,2,2,0,0,0,0,0,3,1,0,1,15
Quiksilver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralph Lauren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reebok,3,3,3,2,2,2,1,1,1,0,3,1,2,1,25
REI,3,3,3,0,0,0,0,0,0,0,0,0,0,1,10
Reliance Trends,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reserved,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REVOLVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
River Island,3,0,3,2,2,0,0,1,0,0,3,1,2,1,18
Ross Dress for Less,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roxy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell Athletic,3,3,3,2,2,0,0,0,0,0,0,0,0,0,13
s.Oliver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sainsbury's,3,0,3,2,2,2,1,1,1,0,3,1,2,1,22
SAINT LAURENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saks Fifth Avenue,3,0,3,0,0,0,0,0,0,0,0,0,0,0,6
Salvatore Ferragamo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Semir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHEIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skechers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Speedo,3,3,3,2,2,2,1,1,0,0,3,1,2,1,24
Splash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sports Direct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Madden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stradivarius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Superdry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Takko,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
Target,3,0,3,0,0,0,0,0,0,0,3,1,2,1,13
Target Australia,3,3,3,2,2,0,0,1,0,0,3,1,2,1,21
Tchibo,3,3,3,2,2,0,0,0,0,0,3,1,2,1,20
Ted Baker,3,0,3,2,2,0,0,1,0,0,3,1,2,1,18
Tesco ,3,0,3,0,0,0,0,0,0,0,0,1,2,0,9
Tezenis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Children's Place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The North Face,3,3,3,2,2,0,0,1,0,1,3,1,2,1,22
The Warehouse,3,0,3,0,2,0,0,0,0,0,0,0,0,0,8
Timberland,3,3,3,2,2,0,0,1,0,1,3,1,2,1,22
TJ Maxx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tod's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Ford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Tailor,3,3,3,2,2,2,1,1,1,0,3,1,2,1,25
Tommy Bahama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommy Hilfiger,3,3,3,2,2,0,0,0,0,0,3,1,2,1,20
Topman,3,0,3,2,2,0,0,0,0,0,3,1,2,0,16
