Index,Brand,Policy and commitments,Governance,Traceability,"Know, show and fix",Spotlight issues,Index Score
219,Tod's,0.33,0.38,0.0,0.15,0.13,0.136
220,Tom Ford,0.02,0.0,0.0,0.0,0.0,0.002
221,Tom Tailor,0.66,0.31,0.69,0.3,0.18,0.423
222,Tommy Bahama,0.27,0.0,0.0,0.06,0.02,0.056
223,Tommy Hilfiger,0.89,0.46,0.72,0.49,0.42,0.586
224,Topman,0.63,0.15,0.42,0.17,0.07,0.271
225,Topshop,0.63,0.15,0.42,0.17,0.07,0.271
226,TOPVALU COLLECTION,0.64,0.08,0.0,0.19,0.12,0.164
227,Tory Burch,0.03,0.0,0.0,0.0,0.0,0.004
228,Triumph,0.23,0.0,0.0,0.15,0.0,0.058
229,Truworths,0.47,0.15,0.0,0.09,0.06,0.106
230,UGG,0.67,0.31,0.97,0.23,0.33,0.545
231,Under Armour,0.51,0.23,0.24,0.21,0.07,0.215
232,Uniqlo,0.86,0.46,0.32,0.43,0.33,0.421
233,United Arrows,0.42,0.0,0.0,0.06,0.06,0.087
234,United Colors of Benetton,0.92,0.46,0.85,0.4,0.37,0.597
235,Urban Outfitters,0.4,0.31,0.0,0.15,0.18,0.157
236,Valentino,0.31,0.15,0.0,0.13,0.02,0.081
237,Van Heusen,0.89,0.46,0.72,0.49,0.42,0.586
238,Vans,0.92,0.62,0.84,0.51,0.45,0.645
239,Vero Moda,0.64,0.31,0.26,0.15,0.16,0.256
240,Versace,0.58,0.31,0.01,0.17,0.08,0.156
241,Very,0.7,0.15,0.2,0.17,0.11,0.228
242,Victoria's Secret,0.58,0.15,0.26,0.21,0.05,0.216
243,Walmart,0.77,0.62,0.01,0.32,0.18,0.257
244,Woolworths South Africa,0.7,0.62,0.01,0.21,0.23,0.244
245,Wrangler,0.74,0.23,0.46,0.11,0.23,0.342
246,Youngor,0.0,0.0,0.0,0.0,0.0,0.0
247,Zalando,0.83,0.54,0.5,0.28,0.34,0.449
248,Zara,0.89,0.62,0.01,0.34,0.42,0.358
249,Zeeman,0.7,0.54,0.42,0.3,0.23,0.376
